bottle,Hot,Cold
Built,-1,3
Built,-9,1
Built,-9,3
Ctrl,-28,17
Ctrl,-36,18
Ctrl,-35,18
Equate,-9,3
Equate,-12,4
Equate,-10,3
Hydro,-7,2
Hydro,-8,2
Hydro,-7,1
