Set,Name,Theme,Year,Parts,Cost
,,,,,Avg: $20.07
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75327-1,Luke Skywalker (Red Five) Helmet,Star Wars,2022,675,69.99
,,,,,Avg: $68.67
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75332-1,AT-ST,Star Wars,2022,87,34.99
,,,,,Avg: $33.76
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75328-1,The Mandalorian Helmet,Star Wars,2022,584,69.99
,,,,,Avg: $67.41
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75347-1,TIE Bomber,Star Wars,2023,0,64.99
,,,,,Avg: $62.20
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
40478-1,Mini Disney Castle,Disney,2021,567,39.99
,,,,,Avg: $62.77
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
40521-1,Mini Disney The Haunted Mansion,Disney,2022,680,39.99
,,,,,Avg: $54.21
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
76830-1,Zyclops Chase,Disney,2022,87,19.99
,,,,,Avg: $26.49
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10776-1,Mickey & Friends Fire Truck & Station,Disney,2021,144,39.99
,,,,,Avg: $49.74
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
43179-1,Mickey Mouse & Minnie Mouse,Disney,2020,1739,179.99
,,,,,Avg: $221.39
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
76832-1,XL-15 Spaceship,Disney,2022,497,49.99
,,,,,Avg: $61.11
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10775-1,Mickey Mouse & Donald Duck's Farm,Disney,2021,118,29.99
,,,,,Avg: $34.82
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
43202-1,The Madrigal House,Disney,2021,587,49.99
,,,,,Avg: $56.36
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
76831-1,Zurg Battle,Disney,2022,261,34.99
,,,,,Avg: $37.25
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10780-1,Mickey and Friends Castle Defenders,Disney,2022,216,54.99
,,,,,Avg: $52.62
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10777-1,Mickey and Minnie's Camping Trip,Disney,2022,103,24.99
,,,,,Avg: $22.13
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
40526-1,Electric Scooters & Charging Dock,City,2022,50,12.99
,,,,,Avg: $17.74
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60310-1,Chicken Stunt Bike,City,2021,10,7.99
,,,,,Avg: $10.74
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60296-1,Wheelie Stunt Bike,City,2021,14,7.99
,,,,,Avg: $10.27
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60298-1,Rocket Stunt Bike,City,2021,14,7.99
,,,,,Avg: $10.23
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60333-1,Bathtub Stunt Bike,City,2022,14,7.99
,,,,,Avg: $9.22
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60312-1,Police Car,City,2022,94,9.99
,,,,,Avg: $11.49
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60284-1,Roadwork Truck,City,2021,58,9.99
,,,,,Avg: $11.36
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60253-1,Ice-cream Truck,City,2020,201,19.99
,,,,,Avg: $22.64
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
