REALINC,WRKSTAT,WRKSLF,WRKGOVT,OCC10,PRESTG10,PRESTG105PLUS,MARITAL,PAWRKSLF,SIBS,CHILDS,AGE,EDUC,MAEDUC,DEGREE,MADEG,SEX,RACE,RES16,REG16,MOBILE16,FAMILY16,MAWRKGRW,INCOM16,BORN,PARBORN,GRANBORN,HOMPOP,BABIES,PRETEEN,TEENS,ADULTS,EARNRS,REGION,SRCBELT,SIZE,PARTYID,PRES16,POLVIEWS,NATROAD,CAPPUN,COURTS,RELIG,FUND,ATTEND,RELITEN,POSTLIFE,PRAY,RELIG16,FUND16,BIBLE,HAPPY,WEEKSWRK,CLASS,PHONE,TVHOURS,GOD,REBORN,SAVESOUL,RELPERSN,SPRTPRSN
46901.25,1,2,2,1530,70,97,1,2,1,0,39,18,12,4,1,2,1,1,0,3,1,1,3,2,8,4,2,0,0,0,1,2,2,2,240,3,0,2,1,2,3,4,3,0,4,0,6,1,3,3,1,52,2,3,2,3,2,2,4,2
56850,1,2,2,710,51,72,5,2,6,0,31,17,12,4,1,1,2,4,0,3,1,1,2,2,8,0,1,0,0,0,1,1,2,2,240,0,0,4,2,1,2,1,1,3,1,1,2,1,1,1,1,52,2,6,2,6,2,1,2,2
46901.25,1,2,2,1010,63,87,1,2,1,1,35,17,20,4,4,1,1,6,0,3,1,1,4,2,0,0,3,1,0,0,1,2,2,2,240,3,0,4,2,1,3,10,3,1,1,0,6,10,3,3,2,52,3,3,2.898961068615139,3,2,2,3,3
3695.25,4,2,2,2540,48,50,5,0,3,1,37,11,12,0,1,2,1,4,2,1,5,1,1,1,8,4,5,0,1,1,1,0,2,2,240,1,0,5,3,1,2,2,2,7,2,1,3,2,2,3,3,0,1,3,2.898961068615139,6,2,1,3,3
284.25,5,2,1,5860,32,26,2,2,4,1,67,12,0,1,0,2,1,3,0,3,1,2,3,2,8,4,1,0,0,0,1,1,2,3,58,1,0,4,1,1,2,2,2,2,2,1,3,2,2,3,2,0,1,3,5,5,2,2,2,2
10659.375,1,2,2,4230,25,14,3,1,11,1,37,12,4,1,0,2,1,3,0,3,1,2,2,2,8,4,5,0,1,1,1,2,2,3,58,4,0,5,2,2,2,1,2,8,1,1,3,2,2,1,2,40,2,3,1,6,1,1,2,2
15633.75,5,2,2,9620,25,16,2,1,4,1,77,12,6,1,0,1,2,3,0,3,1,1,2,2,8,4,1,0,0,0,1,1,2,3,58,5,0,6,2,2,2,1,1,3,2,1,2,2,2,1,3,0,2,3,3,6,1,1,2,1
68220,1,1,2,4920,49,69,1,1,11,1,42,16,6,3,0,1,3,3,0,3,1,2,3,2,8,4,2,0,0,0,1,2,2,4,98,1,0,5,3,2,2,2,2,7,1,1,2,2,2,2,2,52,3,3,2,6,1,2,2,2
25582.5,1,2,1,5360,36,30,4,2,6,0,40,13,12,1,1,1,2,3,0,3,1,1,3,2,8,4,1,0,0,0,1,1,2,4,98,2,0,4,2,2,3,1,1,0,2,1,5,1,1,2,2,52,3,3,2.898961068615139,6,1,1,4,2
46901.25,1,2,2,8750,42,48,1,2,1,1,51,14,12,1,1,1,1,6,2,3,1,1,3,1,1,4,4,0,0,1,1,3,2,3,21,5,0,6,1,1,3,2,2,5,3,1,2,2,2,2,2,52,2,3,2.898961068615139,6,2,2,2,2
68220,1,2,2,630,47,59,1,2,3,1,28,16,12,3,1,1,1,3,2,2,3,1,4,1,0,0,3,1,0,0,1,2,2,4,43,5,0,5,2,1,2,2,2,3,2,1,2,2,2,2,2,52,3,3,2.898961068615139,5,2,2,2,2
68220,1,2,2,4710,48,58,1,2,10,1,35,18,12,4,1,1,3,3,0,3,1,2,3,2,8,4,4,0,0,0,1,2,2,4,43,2,0,4,3,2,3,2,2,7,1,1,2,2,2,1,2,52,3,3,2,6,2,2,2,2
68220,1,2,2,5120,45,48,5,2,1,1,32,14,12,2,1,2,1,4,2,2,1,1,3,1,0,1,4,1,0,0,1,2,2,3,86,5,0,1,1,1,2,2,2,7,2,1,4,2,2,2,1,44,3,3,1,4,2,2,2,3
25582.5,1,2,2,8740,39,38,1,2,4,1,53,12,12,1,1,1,1,4,2,2,1,2,3,1,8,4,2,0,0,0,1,1,2,3,86,6,0,6,1,1,2,1,2,7,1,1,2,1,2,2,1,52,2,6,2,6,2,1,1,2
